CandidateValue,BaseName,BaseValue,N_multiple,Approx_N_times_Base,AbsError,RelError,Ratio,Ratio_p,Ratio_q,RatioApprox
-349.79669694269256,One,1.0,-20,-20.0,329.79669694269256,0.9428239312297548,-349.79669694269256,-20638,59,-349.79661016949154
-349.79669694269256,ThreeHalves,1.5,-20,-30.0,319.79669694269256,0.9142358968446322,-233.19779796179503,-14225,61,-233.19672131147541
-349.79669694269256,Two,2.0,-20,-40.0,309.79669694269256,0.8856478624595097,-174.89834847134628,-10319,59,-174.89830508474577
-349.79669694269256,Three,3.0,-20,-60.0,289.79669694269256,0.8284717936892645,-116.59889898089752,-583,5,-116.6
-260.73885459873185,GoldenRatio_phi,1.61803398875,-20,-32.360679775,228.37817482373185,0.875888540567527,-161.14547432972265,-8863,55,-161.14545454545456
-260.73885459873185,PhiSquared,2.618033988750235,-20,-52.3606797750047,208.37817482372714,0.7991834402448917,-99.5933802689858,-5876,59,-99.59322033898304
-260.73885459873185,Pi,3.141592653589793,-20,-62.83185307179586,197.90700152693597,0.7590238203335979,-82.99575513101428,-83,1,-83.0
-260.73885459873185,Euler_e,2.718281828459045,-20,-54.3656365691809,206.37321802955094,0.7914939196429018,-95.92046412146343,-6043,63,-95.92063492063492
-260.73885459873185,Sqrt2,1.4142135623730951,-20,-28.284271247461902,232.45458335126995,0.891522606820566,-184.3702122055765,-4978,27,-184.37037037037038
-260.73885459873185,Sqrt3,1.7320508075688772,-20,-34.64101615137754,226.09783844735432,0.8671428690415593,-150.53764789077255,-8129,54,-150.53703703703704
-260.73885459873185,OneHalf,0.5,-20,-10.0,250.73885459873185,0.9616474498386914,-521.4777091974637,-22945,44,-521.4772727272727
-260.73885459873185,One,1.0,-20,-20.0,240.73885459873185,0.9232948996773829,-260.73885459873185,-5997,23,-260.7391304347826
-260.73885459873185,ThreeHalves,1.5,-20,-30.0,230.73885459873185,0.8849423495160743,-173.82590306582122,-3998,23,-173.82608695652175
-260.73885459873185,Two,2.0,-20,-40.0,220.73885459873185,0.8465897993547657,-130.36942729936592,-5997,46,-130.3695652173913
-260.73885459873185,Three,3.0,-20,-60.0,200.73885459873185,0.7698846990321487,-86.91295153291061,-1999,23,-86.91304347826087
-166.1251741528758,GoldenRatio_phi,1.61803398875,-20,-32.360679775,133.7644943778758,0.8052030347596791,-102.67100401346609,-6571,64,-102.671875
-166.1251741528758,PhiSquared,2.618033988750235,-20,-52.3606797750047,113.76449437787109,0.6848118893358085,-63.45417013939478,-698,11,-63.45454545454545
-166.1251741528758,Pi,3.141592653589793,-20,-62.83185307179586,103.29332108107992,0.6217800619791966,-52.879285276864294,-3067,58,-52.87931034482759
-166.1251741528758,Euler_e,2.718281828459045,-20,-54.3656365691809,111.75953758369488,0.6727429370869991,-61.11403623186848,-2139,35,-61.114285714285714
-166.1251741528758,Sqrt2,1.4142135623730951,-20,-28.284271247461902,137.84090290541388,0.8297412093519706,-117.46823716929462,-5521,47,-117.46808510638297
-166.1251741528758,Sqrt3,1.7320508075688772,-20,-34.64101615137754,131.48415800149826,0.7914764193444919,-95.9124140163363,-5467,57,-95.91228070175438
-166.1251741528758,OneHalf,0.5,-20,-10.0,156.1251741528758,0.9398044272880789,-332.2503483057516,-1329,4,-332.25
-166.1251741528758,One,1.0,-20,-20.0,146.1251741528758,0.8796088545761577,-166.1251741528758,-1329,8,-166.125
-166.1251741528758,ThreeHalves,1.5,-20,-30.0,136.1251741528758,0.8194132818642366,-110.75011610191719,-443,4,-110.75
-166.1251741528758,Two,2.0,-20,-40.0,126.12517415287579,0.7592177091523153,-83.0625870764379,-1329,16,-83.0625
-166.1251741528758,Three,3.0,-20,-60.0,106.12517415287579,0.638826563728473,-55.37505805095859,-443,8,-55.375
-50.90097487078572,GoldenRatio_phi,1.61803398875,-20,-32.360679775,18.540295095785716,0.3642424362765358,-31.458532530647815,-755,24,-31.458333333333332
-50.90097487078572,PhiSquared,2.618033988750235,-19,-49.742645786254464,1.1583290845312533,0.022756520626013958,-19.44244234013333,-1011,52,-19.442307692307693
-50.90097487078572,Pi,3.141592653589793,-16,-50.26548245743669,0.6354924133490272,0.01248487705711436,-16.202283517763792,-1037,64,-16.203125
-50.90097487078572,Euler_e,2.718281828459045,-19,-51.64735474072186,0.7463798699361419,0.014663370826017751,-18.72542219054628,-955,51,-18.725490196078432
-50.90097487078572,Sqrt2,1.4142135623730951,-20,-28.284271247461902,22.616703623323815,0.4443275139766434,-35.992424500138625,-36,1,-36.0
-50.90097487078572,Sqrt3,1.7320508075688772,-20,-34.64101615137754,16.259958719408175,0.3194429725694797,-29.387691543662513,-1440,49,-29.387755102040817
-50.90097487078572,OneHalf,0.5,-20,-10.0,40.90097487078572,0.8035401085070487,-101.80194974157143,-6210,61,-101.80327868852459
-50.90097487078572,One,1.0,-20,-20.0,30.900974870785717,0.6070802170140975,-50.90097487078572,-3105,61,-50.90163934426229
-50.90097487078572,ThreeHalves,1.5,-20,-30.0,20.900974870785717,0.41062032552114625,-33.933983247190476,-2070,61,-33.9344262295082
-50.90097487078572,Two,2.0,-20,-40.0,10.900974870785717,0.214160434028195,-25.45048743539286,-509,20,-25.45
-50.90097487078572,Three,3.0,-17,-51.0,0.09902512921428297,0.0019454466140513508,-16.966991623595238,-1035,61,-16.9672131147541
-37.95430259557564,GoldenRatio_phi,1.61803398875,-20,-32.360679775,5.593622820575639,0.14737783170932753,-23.457049023362575,-821,35,-23.457142857142856
-37.95430259557564,PhiSquared,2.618033988750235,-14,-36.65247584250329,1.3018267530723477,0.034299846500778615,-14.497253572209656,-29,2,-14.5
-37.95430259557564,Pi,3.141592653589793,-12,-37.69911184307752,0.2551907524981232,0.0067236317109373245,-12.081229739382833,-447,37,-12.08108108108108
-37.95430259557564,Euler_e,2.718281828459045,-14,-38.05594559842663,0.10164300285099159,0.0026780363726888815,-13.96260762891219,-740,53,-13.962264150943396
-37.95430259557564,Sqrt2,1.4142135623730951,-20,-28.284271247461902,9.670031348113739,0.2547808993134017,-26.837744740537715,-993,37,-26.83783783783784
-37.95430259557564,Sqrt3,1.7320508075688772,-20,-34.64101615137754,3.3132864441980985,0.08729672837103666,-21.912926820460108,-504,23,-21.91304347826087
-37.95430259557564,OneHalf,0.5,-20,-10.0,27.95430259557564,0.736525260217383,-75.90860519115128,-835,11,-75.9090909090909
-37.95430259557564,One,1.0,-20,-20.0,17.95430259557564,0.4730505204347658,-37.95430259557564,-835,22,-37.95454545454545
-37.95430259557564,ThreeHalves,1.5,-20,-30.0,7.954302595575641,0.20957578065214874,-25.30286839705043,-835,33,-25.303030303030305
-37.95430259557564,Two,2.0,-19,-38.0,0.045697404424359434,0.0012040111739449117,-18.97715129778782,-835,44,-18.977272727272727
-37.95430259557564,Three,3.0,-13,-39.0,1.0456974044243594,0.02755148515220662,-12.651434198525214,-544,43,-12.651162790697674
0.3842932121655978,GoldenRatio_phi,1.61803398875,1,1.61803398875,1.2337407765844022,3.210415218192208,0.23750626676419861,14,59,0.23728813559322035
