Event,Detector,Constant,ObservedCount,ExpectedPerSegment,StdPerSegment,ZScore,ChiSquareApprox,PValueApprox
170405-v1,H1,Apéry’s Constant (zeta(3)),2,27.7397,5.222618491714668,-4.928504741603144,24.29015898800467,8.286132405159987e-07
170405-v1,H1,Apéry’s Constant (zeta(3)),0,27.7397,5.222618491714668,-5.311454406253714,28.21154790971199,1.0875378110810746e-07
170412-v1,H1,Apéry’s Constant (zeta(3)),5,27.7397,5.222618491714668,-4.354080244627288,18.958014776653624,1.3362675617095696e-05
170412-v1,H1,Apéry’s Constant (zeta(3)),0,27.7397,5.222618491714668,-5.311454406253714,28.21154790971199,1.0875378110810746e-07
170412-v1,H1,Apéry’s Constant (zeta(3)),5,27.7397,5.222618491714668,-4.354080244627288,18.958014776653624,1.3362675617095696e-05
170412-v1,H1,Apéry’s Constant (zeta(3)),10,27.7397,5.222618491714668,-3.396706083000862,11.53761221429506,0.0006820217981515777
170412-v1,H1,Apéry’s Constant (zeta(3)),0,27.7397,5.222618491714668,-5.311454406253714,28.21154790971199,1.0875378110810746e-07
170412-v1,H1,Apéry’s Constant (zeta(3)),9,27.7397,5.222618491714668,-3.5881809153261472,12.875042281110789,0.00033299320260282077
170423-v1,H1,Apéry’s Constant (zeta(3)),2,27.7397,5.222618491714668,-4.928504741603144,24.29015898800467,8.286132405159987e-07
170423-v1,H1,Apéry’s Constant (zeta(3)),0,27.7397,5.222618491714668,-5.311454406253714,28.21154790971199,1.0875378110810746e-07
170423-v1,H1,Apéry’s Constant (zeta(3)),5,27.7397,5.222618491714668,-4.354080244627288,18.958014776653624,1.3362675617095696e-05
170423-v1,H1,Apéry’s Constant (zeta(3)),7,27.7397,5.222618491714668,-3.971130579976718,15.769878083226223,7.153235603285884e-05
170423-v1,H1,Apéry’s Constant (zeta(3)),0,27.7397,5.222618491714668,-5.311454406253714,28.21154790971199,1.0875378110810746e-07
170423-v1,H1,Apéry’s Constant (zeta(3)),3,27.7397,5.222618491714668,-4.737029909277858,22.43945236139299,2.1687316846943123e-06
151008-v1,H1,Catalan’s Constant,62,55.8394,7.188686085787861,0.8569855362274894,0.7344242093031176,0.39145287819183117
151008-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151008-v1,H1,Catalan’s Constant,32,55.8394,7.188686085787861,-3.3162388391295656,10.997440038151408,0.0009123781818269886
151008-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151008-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151008-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151012.2-v1,H1,Catalan’s Constant,44,55.8394,7.188686085787861,-1.6469490889867437,2.7124413017142652,0.09956851071860441
151012.2-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151012.2-v1,H1,Catalan’s Constant,32,55.8394,7.188686085787861,-3.3162388391295656,10.997440038151408,0.0009123781818269886
151012.2-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151012.2-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151012.2-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151116-v1,H1,Catalan’s Constant,22,55.8394,7.188686085787861,-4.707313630915251,22.15880161980052,2.5100257938278828e-06
151116-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151116-v1,H1,Catalan’s Constant,36,55.8394,7.188686085787861,-2.7598089224152917,7.616545288243054,0.00578351776231942
151116-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
151116-v1,H1,Catalan’s Constant,1,55.8394,7.188686085787861,-7.628570693665189,58.19509082824739,2.3737066731400576e-14
151116-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
161202-v1,H1,Catalan’s Constant,18,55.8394,7.188686085787861,-5.263743547629525,27.706996135211455,1.4115130829646476e-07
161202-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
161202-v1,H1,Catalan’s Constant,42,55.8394,7.188686085787861,-1.9251640473438807,3.7062566091854716,0.054208838380792726
161202-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
161202-v1,H1,Catalan’s Constant,3,55.8394,7.188686085787861,-7.350355735308052,54.02772943557598,1.9768003462050065e-13
161202-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
161217-v1,H1,Catalan’s Constant,26,55.8394,7.188686085787861,-4.150883714200977,17.2298356088189,3.311940143325563e-05
161217-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
161217-v1,H1,Catalan’s Constant,33,55.8394,7.188686085787861,-3.177131359950997,10.094163678384072,0.0014873964932740865
161217-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
161217-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
161217-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170208-v1,H1,Catalan’s Constant,4,55.8394,7.188686085787861,-7.211248256129484,52.002101411530525,5.544126981515156e-13
170208-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170208-v1,H1,Catalan’s Constant,14,55.8394,7.188686085787861,-5.820173464343799,33.8744191550517,5.878658484283466e-09
170208-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170208-v1,H1,Catalan’s Constant,2,55.8394,7.188686085787861,-7.489463214486621,56.09205924114827,6.915586283378975e-14
170208-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170219-v1,H1,Catalan’s Constant,25,55.8394,7.188686085787861,-4.289991193379545,18.404024439274053,1.7868020355269532e-05
170219-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170219-v1,H1,Catalan’s Constant,37,55.8394,7.188686085787861,-2.6207014432367233,6.868076054583044,0.00877490711744691
170219-v1,H1,Catalan’s Constant,1,55.8394,7.188686085787861,-7.628570693665189,58.19509082824739,2.3737066731400576e-14
170219-v1,H1,Catalan’s Constant,2,55.8394,7.188686085787861,-7.489463214486621,56.09205924114827,6.915586283378975e-14
170219-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170405-v1,H1,Catalan’s Constant,13,55.8394,7.188686085787861,-5.9592809435223675,35.513029363828835,2.5335021956203974e-09
170405-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170405-v1,H1,Catalan’s Constant,5,55.8394,7.188686085787861,-7.072140776950915,50.0151751690119,1.5256152853683849e-12
170405-v1,H1,Catalan’s Constant,1,55.8394,7.188686085787861,-7.628570693665189,58.19509082824739,2.3737066731400576e-14
170405-v1,H1,Catalan’s Constant,2,55.8394,7.188686085787861,-7.489463214486621,56.09205924114827,6.915586283378975e-14
170405-v1,H1,Catalan’s Constant,1,55.8394,7.188686085787861,-7.628570693665189,58.19509082824739,2.3737066731400576e-14
170412-v1,H1,Catalan’s Constant,33,55.8394,7.188686085787861,-3.177131359950997,10.094163678384072,0.0014873964932740865
170412-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170412-v1,H1,Catalan’s Constant,28,55.8394,7.188686085787861,-3.87266875584384,14.997563292489076,0.00010765008927037408
170412-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170412-v1,H1,Catalan’s Constant,1,55.8394,7.188686085787861,-7.628570693665189,58.19509082824739,2.3737066731400576e-14
170412-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170423-v1,H1,Catalan’s Constant,22,55.8394,7.188686085787861,-4.707313630915251,22.15880161980052,2.5100257938278828e-06
170423-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170423-v1,H1,Catalan’s Constant,10,55.8394,7.188686085787861,-6.3766033810580725,40.66107067932124,1.8105854653836597e-10
170423-v1,H1,Catalan’s Constant,0,55.8394,7.188686085787861,-7.767678172843758,60.336824196873344,7.993785096217055e-15
170423-v1,H1,Catalan’s Constant,4,55.8394,7.188686085787861,-7.211248256129484,52.002101411530525,5.544126981515156e-13
170423-v1,H1,Catalan’s Constant,2,55.8394,7.188686085787861,-7.489463214486621,56.09205924114827,6.915586283378975e-14
151008-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151008-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151008-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151008-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151008-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151008-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151012.2-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151012.2-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151012.2-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151012.2-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151012.2-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151012.2-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151116-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151116-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151116-v1,H1,Feigenbaum Alpha,1,0.2012,0.4464510723472394,1.7892218195384053,3.2013147195123217,0.07357909901492647
151116-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151116-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
151116-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161202-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161202-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161202-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161202-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161202-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161202-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161217-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161217-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161217-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
161217-v1,H1,Feigenbaum Alpha,0,0.2012,0.4464510723472394,-0.4506652855422223,0.20309919959285275,0.6522308056595818
