Event,Detector,WindowType,Domain,Constant,Count
151008-v1,H1,LEGACY_120s,AMP_P2D,Earth Mass (kg),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Earth Mass (kg),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Earth Radius (m),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Earth Radius (m),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Earth Radius (m),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Golden Ratio,268
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Golden Ratio,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Golden Ratio,243
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Phi Squared,38
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Phi Squared,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Phi Squared,50
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Pi,23
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Pi,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Pi,34
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Two Pi,8
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Two Pi,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Two Pi,2
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Euler’s Number,40
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Euler’s Number,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Euler’s Number,43
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Euler–Mascheroni Constant,572
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Euler–Mascheroni Constant,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Euler–Mascheroni Constant,553
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Square Root of 2,484
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Square Root of 2,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Square Root of 2,553
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Square Root of 3,185
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Square Root of 3,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Square Root of 3,183
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Square Root of 5,67
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Square Root of 5,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Square Root of 5,58
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Golden Ratio Conjugate,700
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Golden Ratio Conjugate,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Golden Ratio Conjugate,668
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Plastic Constant,864
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Plastic Constant,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Plastic Constant,841
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Apéry’s Constant (zeta(3)),2169
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Apéry’s Constant (zeta(3)),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Apéry’s Constant (zeta(3)),2138
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Catalan’s Constant,12330
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Catalan’s Constant,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Catalan’s Constant,12267
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Feigenbaum Delta,12
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Feigenbaum Delta,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Feigenbaum Delta,9
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Feigenbaum Alpha,41
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Feigenbaum Alpha,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Feigenbaum Alpha,42
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Khinchin’s Constant,36
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Khinchin’s Constant,0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Khinchin’s Constant,44
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Planck Length (m),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Planck Length (m),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Planck Length (m),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Planck Time (s),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Planck Time (s),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Planck Time (s),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Planck Mass (kg),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Planck Mass (kg),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Planck Mass (kg),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Planck Charge (C),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Planck Charge (C),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Planck Charge (C),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Planck Temperature (K),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Planck Temperature (K),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Planck Temperature (K),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Absolute Zero (K),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Absolute Zero (K),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Absolute Zero (K),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Cosmic Microwave Background Temp (K),41
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Cosmic Microwave Background Temp (K),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Cosmic Microwave Background Temp (K),45
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Boltzmann Constant (J/K),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Boltzmann Constant (J/K),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Boltzmann Constant (J/K),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Avogadro Constant (1/mol),0
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Avogadro Constant (1/mol),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Avogadro Constant (1/mol),0
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Gas Constant R (J/(mol·K)),2
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Gas Constant R (J/(mol·K)),0
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Gas Constant R (J/(mol·K)),3
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Fine-Structure Constant,103
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Fine-Structure Constant,1877
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Fine-Structure Constant,101
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Gravitational Constant (m^3 kg^-1 s^-2),93
151012.2-v1,H1,LEGACY_120s,AMP_P2D,Gravitational Constant (m^3 kg^-1 s^-2),2200
151012.2-v1,H1,LEGACY_120s,AMP_D2D,Gravitational Constant (m^3 kg^-1 s^-2),88
151012.2-v1,H1,LEGACY_120s,AMP_P2P,Coulomb Constant (N m^2 C^-2),0
