BinIndex,BinCenter,ObsCount,ExpCount,StdCount,ZScore,ChiSquareApprox
59,-926.2275308892093,0.0,429.378,19.892287852331116,-21.585149138573446,465.91866333445796
60,-907.5118895743977,0.0,426.982,21.129545096854304,-20.207817917649713,408.3559049928848
61,-888.7962482595862,0.0,428.058,20.477857212120586,-20.903456624682285,436.9544988599737
62,-870.0806069447746,0.0,428.124,20.65944394217811,-20.72291980356482,429.439405184979
63,-851.364965629963,0.0,427.432,19.58349754257395,-21.826131878168102,476.38003276318585
64,-832.6493243151514,0.0,427.414,20.404867164478194,-20.946669074330632,438.7629453095193
65,-813.9336830003398,0.0,427.54,20.321623950855898,-21.038672944343755,442.6257592590619
66,-795.2180416855282,0.0,429.8,21.572760602203896,-19.923273053708815,396.93680917263976
67,-776.5024003707166,0.0,427.624,21.877902641706765,-19.54593212170176,382.04346250617266
68,-757.786759055905,0.0,428.608,20.467494619518042,-20.940911819821583,438.52178784554326
69,-739.0711177410934,0.0,428.136,22.315768057586556,-19.185358034515385,368.077962912544
70,-720.3554764262818,0.0,428.436,20.68095510366965,-20.716451336620224,429.1713559825539
71,-701.6398351114702,1.0,427.362,20.64293961624652,-20.65413201443666,426.5931692697773
72,-682.9241937966586,0.0,429.886,21.966451784482633,-19.570115566123278,382.9894232714206
73,-664.208552481847,3.0,427.872,20.6771278469714,-20.547921507494642,422.2170782781609
74,-645.4929111670356,1.0,427.328,20.385397126374563,-20.913401753082265,437.3703728858244
75,-626.7772698522241,2.0,427.828,21.480838344906388,-19.823621087906645,392.975953036897
76,-608.0616285374125,0.0,427.902,20.26377052771769,-21.116603122538155,445.91092743478816
77,-589.3459872226009,0.0,427.292,20.089269175358275,-21.269663732920716,452.3985953115228
78,-570.6303459077893,3.0,428.042,21.32295092148364,-19.93354491904565,397.3462130396107
79,-551.9147045929777,0.0,429.1,19.75231631986485,-21.72403443987252,471.9336723447673
80,-533.1990632781661,1.0,428.678,21.258088248946578,-20.11836600693353,404.7486507889386
81,-514.4834219633545,0.0,429.704,19.49010990220425,-22.047284605173125,486.0827584615039
82,-495.76778064854295,0.0,427.374,21.279523584892587,-20.08381429664217,403.35959670200845
83,-477.05213933373136,1.0,427.106,21.535337564106104,-19.786362704163487,391.5001490607118
84,-458.33649801891977,2.0,428.024,20.9555583080003,-20.32988068074306,413.30404849324987
85,-439.6208567041082,0.0,427.54,21.490844562278145,-19.894052965719208,395.7733434028412
86,-420.9052153892966,0.0,428.174,20.67142288281095,-20.71332981901514,429.04203219130176
87,-402.189574074485,2.0,427.032,20.333592304361755,-20.90294688896789,436.9331886430124
88,-383.4739327596734,1.0,427.552,19.245136944173712,-22.164144699897015,491.24931027797294
89,-364.7582914448618,5.0,429.28,20.84988249367367,-20.3492753558077,414.09300750648254
90,-346.0426501300502,0.0,428.944,21.421131249306143,-20.024339284784226,400.97416379215286
91,-327.3270088152386,2.0,426.924,21.919174801985594,-19.385948779490885,375.81501008104414
92,-308.61136750042704,4.0,426.942,20.05728386397319,-21.086703606946834,444.6490690072246
93,-289.89572618561544,3.0,427.284,20.183739594039547,-21.021079766868134,441.8857945650328
94,-271.18008487080385,2.0,427.694,20.85301810290299,-20.414023423340257,416.73235232868467
95,-252.46444355599226,2.0,428.418,20.360532311312497,-20.94336206343084,438.6244145199541
96,-233.74880224118078,4.0,428.538,20.09279861044749,-21.128863541152324,446.4288745406359
97,-215.0331609263693,6.0,427.214,21.366707841874003,-19.71356575459482,388.6246747607337
98,-196.3175196115577,3.0,427.112,20.87322342140763,-20.318471729911618,412.84029343921765
99,-177.60187829674612,9.0,428.638,21.04202832428471,-19.942849307720664,397.71723851045454
100,-158.88623698193453,1.0,428.628,19.217117785974033,-22.25245246257023,495.1716405989479
101,-140.17059566712294,12.0,427.372,19.679878454909215,-21.106431167840064,445.4814366427705
102,-121.45495435231135,7.0,427.934,20.070815728315576,-20.97244106556931,439.843284248778
103,-102.73931303749976,8.0,431.142,19.825181865496205,-21.34366296716992,455.55194885614065
104,-84.02367172268816,30.0,427.28,20.430017131661927,-19.44589656678777,378.1428932862084
105,-65.30803040787657,56.0,428.616,20.587873712455117,-18.09880928959542,327.5668977011454
106,-46.59238909306498,94.0,428.774,20.651947220540745,-16.210287408977525,262.7734178816553
107,-27.87674777825339,307.0,425.772,20.44436391771579,-5.809522882591603,33.750556123355445
108,-9.161106463441797,23937.0,428.018,19.98093281105764,1176.5707948825043,1384318.835370448
