Event,Detector,Constant,Count,RankWithinEvent
161202-v1,L1,Tau Mass (kg),15,17
161202-v1,L1,Baryon-to-Photon Ratio,15,18
161202-v1,L1,Critical Density (kg/m^3),15,19
161202-v1,L1,Apéry’s Constant (zeta(3)),5,20
161202-v1,L1,Plastic Constant,4,21
161202-v1,L1,Golden Ratio Conjugate,3,22
161202-v1,L1,Euler–Mascheroni Constant,2,23
161202-v1,L1,Euler’s Number,1,24
161202-v1,L1,Khinchin’s Constant,1,25
161202-v1,L1,Cosmic Microwave Background Temp (K),1,26
161202-v1,L1,Square Root of 3,1,27
161202-v1,L1,Square Root of 2,1,28
161202-v1,L1,Speed of Light (m/s),0,29
161202-v1,L1,Planck Temperature (K),0,30
161202-v1,L1,Square Root of 5,0,31
161202-v1,L1,Solar Mass (kg),0,32
161202-v1,L1,Solar Radius (m),0,33
161202-v1,L1,Hubble Constant (km/s/Mpc),0,34
161202-v1,L1,Pi,0,35
161202-v1,L1,Phi Squared,0,36
161202-v1,L1,Parsec (m),0,37
161202-v1,L1,Golden Ratio,0,38
161202-v1,L1,Gas Constant R (J/(mol·K)),0,39
161202-v1,L1,Feigenbaum Delta,0,40
161202-v1,L1,Feigenbaum Alpha,0,41
161202-v1,L1,Earth Radius (m),0,42
161202-v1,L1,Earth Mass (kg),0,43
161202-v1,L1,Coulomb Constant (N m^2 C^-2),0,44
161202-v1,L1,Avogadro Constant (1/mol),0,45
161202-v1,L1,Astronomical Unit (m),0,46
161202-v1,L1,Two Pi,0,47
161217-v1,H1,Catalan’s Constant,59,1
161217-v1,H1,Apéry’s Constant (zeta(3)),35,2
161217-v1,H1,Golden Ratio Conjugate,23,3
161217-v1,H1,Euler–Mascheroni Constant,21,4
161217-v1,H1,Golden Ratio,19,5
161217-v1,H1,Absolute Zero (K),5,6
161217-v1,H1,Planck Charge (C),5,7
161217-v1,H1,Planck Mass (kg),5,8
161217-v1,H1,Neutron Mass (kg),5,9
161217-v1,H1,Muon Mass (kg),5,10
161217-v1,H1,Planck Time (s),5,11
161217-v1,H1,Gravitational Constant (m^3 kg^-1 s^-2),5,12
161217-v1,H1,Proton Mass (kg),5,13
161217-v1,H1,Planck Length (m),5,14
161217-v1,H1,Reduced Planck Constant (J·s),5,15
161217-v1,H1,Planck Constant (J·s),5,16
161217-v1,H1,Critical Density (kg/m^3),5,17
161217-v1,H1,Electron Mass (kg),5,18
